datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,ema,macd,macd_signal,macd_hist,rsi,sma,slow_k,slow_d
2024-02-20,181.78999,182.42999,180.00000,181.56000,53665600,195.83740,188.03900,180.24060,184.74785,-1.62559,-0.89222,-0.73337,35.22513,185.62778,19.57625,26.51905
2024-02-16,183.42000,184.85001,181.67000,182.31000,49701400,196.25458,188.65550,181.05641,185.54482,-1.36159,-0.70887,-0.65271,36.57953,186.48778,24.38244,30.52447
2024-02-15,183.55000,184.49001,181.35001,183.86000,65434500,196.22607,189.11800,182.00993,186.35352,-1.08118,-0.54570,-0.53548,39.49367,187.08444,35.59847,33.73657
2024-02-14,185.32001,185.53000,182.44000,184.14999,54630500,196.05093,189.35650,182.66207,186.97690,-0.86537,-0.41183,-0.45355,40.04794,187.30556,31.59249,37.24304
2024-02-13,185.77000,186.21001,183.50999,185.03999,56529500,196.23191,189.28300,182.33408,187.68363,-0.60686,-0.29844,-0.30842,41.71641,187.60667,34.01875,45.39289
2024-02-12,188.42000,188.67000,186.78999,187.14999,41781900,196.35800,189.21250,182.06700,188.34454,-0.35870,-0.22133,-0.13737,45.92883,187.53556,46.11787,51.70267
2024-02-09,188.64999,189.99001,188.00000,188.85001,45155200,196.38705,189.15100,181.91495,188.64317,-0.25158,-0.18699,-0.06458,49.68210,187.63445,56.04205,56.10043
2024-02-08,189.39000,189.53999,187.35001,188.32001,40962000,196.38882,188.98800,181.58718,188.59147,-0.28428,-0.17085,-0.11343,48.46287,187.95444,52.94807,56.97608
2024-02-07,190.64000,191.05000,188.61000,189.41000,53439000,196.37838,188.88150,181.38461,188.65933,-0.26792,-0.14249,-0.12543,50.81419,188.41000,59.31115,55.73067
2024-02-06,186.86000,189.31000,186.77000,189.30000,43490800,196.33382,188.66800,181.00218,188.47166,-0.35412,-0.11113,-0.24300,50.58954,188.93889,58.66900,48.80326
2024-02-05,188.14999,189.25000,185.84000,187.67999,69668800,196.25770,188.48100,180.70430,188.26458,-0.44780,-0.05038,-0.39742,47.29774,189.51666,49.21185,42.84559
2024-02-02,179.86000,187.33000,179.25000,185.85001,102518000,196.55761,188.15600,179.75438,188.41072,-0.39591,0.04898,-0.44488,43.33815,190.35000,38.52892,34.94079
2024-02-01,183.99001,186.95000,183.82001,186.86000,64885400,196.74369,187.95900,179.17430,189.05090,-0.13759,0.16020,-0.29779,45.07367,191.24333,40.79600,38.14257
2024-01-31,187.03999,187.10001,184.35001,184.39999,55467800,196.75108,187.82850,178.90591,189.59863,0.09129,0.23464,-0.14336,39.60346,191.76555,25.49745,48.23792
2024-01-30,190.94000,191.80000,187.47000,188.03999,55859400,196.73381,187.89050,179.04719,190.89829,0.63256,0.27048,0.36208,45.88180,192.23555,48.13426,64.86313
2024-01-29,192.00999,192.20000,189.58000,191.73000,47145600,197.18710,188.11500,179.04290,191.61286,0.94360,0.17996,0.76364,53.92965,191.64000,71.08204,77.60718
2024-01-26,194.27000,194.75999,191.94000,192.42000,44594000,197.46106,188.20750,178.95394,191.58357,0.95117,-0.01095,0.96212,55.62375,190.74000,75.37310,83.38057
2024-01-25,195.22000,196.27000,193.11000,194.17000,54822100,197.56922,188.24400,178.91878,191.37447,0.87674,-0.25147,1.12822,60.06755,190.01778,86.36640,90.37001
2024-01-24,195.42000,196.38000,194.34000,194.50000,53631300,197.38274,188.18800,178.99326,190.67559,0.59081,-0.53353,1.12434,60.91976,189.06444,88.40220,91.74831
2024-01-23,195.02000,195.75000,193.83000,195.17999,42355600,197.22181,188.14300,179.06419,189.71948,0.18366,-0.81461,0.99827,62.61964,188.14111,96.34142,88.96164
2024-01-22,192.30000,195.33000,192.25999,193.89000,60133900,197.12160,188.11800,179.11439,188.35436,-0.40792,-1.06418,0.65626,60.68726,187.02556,90.50131,76.30954
2024-01-19,189.33000,191.95000,188.82001,191.56000,68741000,197.29753,188.16500,179.03247,186.97045,-1.02571,-1.22824,0.20254,56.95514,186.10000,80.04218,51.91652
2024-01-18,186.09000,189.14000,185.83000,188.63000,78005800,198.24260,188.43400,178.62540,185.82306,-1.56208,-1.27888,-0.28320,51.58859,184.94667,58.38512,33.19531
2024-01-17,181.27000,182.92999,180.30000,182.67999,47317400,199.13103,188.79700,178.46297,185.12132,-1.92563,-1.20808,-0.71755,36.70937,184.20000,17.32225,26.31016
2024-01-16,182.16000,184.25999,180.92999,183.63000,65603000,200.14738,189.54150,178.93562,185.73165,-1.75583,-1.02869,-0.72713,38.46201,184.37444,23.87857,31.22008
2024-01-12,186.06000,186.74001,185.19000,185.92000,40444700,201.13208,190.26550,179.39892,186.25706,-1.61028,-0.84691,-0.76337,43.06403,184.59778,37.72965,34.72069
2024-01-11,186.53999,187.05000,183.62000,185.59000,49128400,202.03430,190.86750,179.70070,186.34133,-1.63426,-0.65607,-0.97820,42.13760,185.33222,32.05202,31.60540
2024-01-10,184.35001,186.39999,183.92000,186.19000,46792900,202.33478,191.32350,180.31222,186.52916,-1.60749,-0.41152,-1.19598,43.32788,186.22000,34.38039,31.18220
2024-01-09,183.92000,185.14999,182.73000,185.14000,42841800,202.45161,191.67300,180.89439,186.61395,-1.61104,-0.11252,-1.49851,40.60139,186.99333,28.38380,21.56883
