datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,ema,macd,macd_signal,macd_hist,rsi,sma,slow_k,slow_d
2023-12-04,189.98000,190.05000,187.45000,189.42999,43389500,194.88882,187.79750,180.70618,189.68577,3.26964,3.49264,-0.22300,60.92455,190.23333,47.20957,65.37562
2023-12-01,190.33000,191.56000,189.23000,191.24001,45679300,195.70098,187.15850,178.61602,189.74971,3.49625,3.54839,-0.05214,67.43492,190.45778,80.61938,72.30097
2023-11-30,189.84000,190.32001,188.19000,189.95000,48794400,195.75731,186.47500,177.19269,189.37714,3.55035,3.56143,-0.01108,64.95667,190.28555,68.29790,71.32437
2023-11-29,190.89999,192.09000,188.97000,189.37000,43014200,196.28107,185.67600,175.07092,189.23393,3.69910,3.56420,0.13491,63.80673,190.25889,67.98562,74.39412
2023-11-28,189.78000,191.08000,189.39999,190.39999,38415400,197.02267,184.74600,172.46933,189.19991,3.89422,3.53047,0.36375,67.45693,190.10778,77.68960,79.16448
2023-11-27,189.92000,190.67000,188.89999,189.78999,40552600,197.23399,183.74050,170.24701,188.89989,3.98173,3.43953,0.54220,66.39987,189.77889,77.50715,83.84337
2023-11-24,190.87000,190.89999,189.25000,189.97000,24048300,197.43628,182.66200,167.88772,188.67737,4.09763,3.30398,0.79365,66.99618,189.22444,82.29669,89.06009
2023-11-22,191.49001,192.92999,190.83000,191.31000,39617700,197.38321,181.50800,165.63279,188.35421,4.16763,3.10557,1.06206,71.43033,188.82778,91.72627,94.25749
2023-11-21,191.41000,191.52000,189.74001,190.64000,38134500,196.32114,180.49750,164.67387,187.61526,4.05991,2.84006,1.21986,70.52458,187.83889,93.15730,95.17961
2023-11-20,189.89000,191.91000,189.88000,191.45000,46505100,195.02635,179.63750,164.24865,186.85908,3.93160,2.53509,1.39650,73.12717,186.97778,97.88891,95.65363
2023-11-17,190.25000,190.38000,188.57001,189.69000,50922700,193.35457,178.71500,164.07544,185.71134,3.62816,2.18597,1.44219,70.96533,185.90778,94.49261,94.16646
2023-11-16,189.57001,190.96001,188.64999,189.71001,54412900,191.81044,177.87450,163.93856,184.71668,3.36729,1.82542,1.54187,71.02563,184.74556,94.57936,95.00701
2023-11-15,187.85001,189.50000,187.78000,188.00999,53790500,190.02007,177.16200,164.30393,183.46835,2.98330,1.43995,1.54335,68.94301,183.29444,93.42741,93.99092
2023-11-14,187.70000,188.11000,186.30000,187.44000,60108400,188.41363,176.55350,164.69338,182.33294,2.62290,1.05411,1.56879,68.23209,182.13445,97.01427,95.91063
